order_id,order_date,customer_id,product_name,product_category,product_price,items_count,total_amount
331-74-1120,2021-05-24,76380,Tommy Hilfiger Polo Shirt,Clothes,50.0,3,150.0
536-26-2470,2021-08-11,57597,Noctua NH-D15 CPU Cooler,Electronics,99.99,1,99.99
789-58-1883,2022-04-25,165682,LG 27GL850-B Monitor,Electronics,89.99,10,899.9
535-32-3679,2023-05-09,7614,Lettuce,Vegetables,1.49,10,14.9
454-63-3016,2020-05-22,162669,Tomato,Vegetables,1.99,6,11.94
825-21-9422,2022-04-28,166335,NVIDIA GeForce RTX 3080,Electronics,129.99,8,1039.92
147-12-7564,2023-01-02,199682,Samsung 65 4K UHD TV,Electronics,799.99,7,5599.93
756-86-9389,2022-06-18,49343,NVIDIA GeForce RTX 3080,Electronics,129.99,10,1299.9
455-80-6178,2021-11-12,74499,Whipping Cream,Dairy,4.49,4,17.96
320-75-2945,2020-04-08,54454,Nike Air Max 270,Clothes,150.0,6,900.0
158-31-2036,2022-04-26,2362,Noctua NH-D15 CPU Cooler,Electronics,99.99,9,899.91
550-80-1996,2024-05-10,79805,Sony WF-1000XM4 Earbuds,Electronics,279.99,10,2799.9
365-74-1082,2020-05-14,141828,Sourdough Bread,Bakery,4.99,1,4.99
491-90-6750,2022-05-11,55886,Nike Air Max 270,Clothes,150.0,2,300.0
811-91-5741,2024-06-29,33515,Broccoli,Vegetables,1.49,6,8.94
614-85-6866,2024-06-27,153018,Sony WH-1000XM4 Headphones,Electronics,349.99,8,2799.92
165-91-8340,2023-08-07,109736,Strawberry,Fruits,2.99,2,5.98
728-32-7507,2021-03-17,42131,Adidas Ultraboost,Clothes,180.0,4,720.0
503-97-3963,2024-04-09,129812,SteelSeries Arctis 7 Headset,Electronics,249.99,4,999.96
463-72-9764,2021-03-19,80117,Puma Running Shoes,Clothes,100.0,1,100.0
150-28-9756,2022-01-02,169593,Amazon Echo Dot (4th Gen),Electronics,49.99,10,499.9
211-91-9224,2021-09-07,93197,Levi's 501 Original Jeans,Clothes,60.0,9,540.0
096-54-4080,2024-07-25,132020,Blueberry Scone,Bakery,3.49,5,17.45
661-86-2259,2022-12-13,143905,Cheddar Cheese,Dairy,7.99,10,79.9
020-62-9493,2023-06-25,160720,The North Face Jacket,Clothes,120.0,8,960.0
304-16-5977,2024-01-08,83878,Apple Pie,Bakery,7.99,6,47.94
305-71-7233,2021-02-04,63894,Samsung Galaxy Tab S7,Electronics,649.99,7,4549.93
530-62-0565,2021-01-09,157427,Grapes,Fruits,2.49,7,17.43
277-77-7172,2021-11-02,172549,WD My Passport External Hard Drive,Electronics,449.99,7,3149.93
731-81-4069,2023-04-28,56927,The Great Gatsby,Books,10.99,9,98.91
726-17-8067,2020-08-17,174227,Samsung Galaxy Tab S7,Electronics,649.99,6,3899.94
313-03-1775,2022-11-08,19399,Pineapple,Fruits,3.99,6,23.94
548-32-1906,2022-04-13,27197,Sony 4K Ultra HD Blu-ray Player,Electronics,249.99,3,749.97
727-60-1619,2021-03-25,67809,The Great Gatsby,Books,10.99,2,21.98
208-40-5192,2020-11-25,114939,Samsung T7 Portable SSD,Electronics,79.99,10,799.9
816-33-6878,2023-10-07,184908,Potato,Vegetables,0.99,5,4.95
367-86-8785,2021-06-14,103371,Adidas Originals Hoodie,Clothes,90.0,7,630.0
267-38-1027,2023-10-16,96944,SteelSeries Arctis 7 Headset,Electronics,249.99,2,499.98
456-25-2075,2023-02-16,80298,Corsair K95 RGB Platinum Keyboard,Electronics,129.99,1,129.99
008-36-9273,2022-04-04,187121,Potato,Vegetables,0.99,1,0.99
067-34-0119,2020-12-24,59030,The North Face Jacket,Clothes,120.0,9,1080.0
841-29-8306,2022-10-13,56398,The Catcher in the Rye,Books,12.99,9,116.91
052-90-9061,2020-08-09,85060,TP-Link Archer AX6000 Router,Electronics,249.99,1,249.99
038-33-3478,2023-09-16,73603,Apple iPhone 13,Electronics,799.0,1,799.0
710-66-6877,2022-12-24,168870,Cottage Cheese,Dairy,5.99,2,11.98
673-13-5662,2022-03-15,187565,Bose QuietComfort 35 II,Electronics,299.0,10,2990.0
886-28-1820,2020-08-10,61726,TP-Link Archer AX6000 Router,Electronics,249.99,10,2499.9
283-88-7762,2020-02-22,127732,War and Peace,Books,24.99,8,199.92
470-52-0363,2020-10-10,120962,Wuthering Heights,Books,13.99,4,55.96
271-88-7646,2021-10-08,31747,Nikon D3500 DSLR Camera,Electronics,449.99,10,4499.9
746-98-5516,2023-05-13,156570,Anker Soundcore Liberty Air 2 Pro,Electronics,129.99,6,779.94
811-38-5209,2024-05-13,186615,War and Peace,Books,24.99,2,49.98
010-64-5849,2022-09-20,12427,Spinach,Vegetables,2.49,7,17.43
007-43-0037,2024-05-13,121666,Apple Pie,Bakery,7.99,8,63.92
028-27-4051,2024-07-20,29978,G.Skill Trident Z RGB RAM,Electronics,649.0,8,5192.0
024-74-2054,2021-06-15,134249,Crime and Punishment,Books,18.99,2,37.98
740-78-7774,2023-05-06,108248,Cheddar Cheese,Dairy,7.99,4,31.96
722-12-5812,2023-02-19,35027,Whipping Cream,Dairy,4.49,8,35.92
737-18-2120,2023-01-14,69462,Razer BlackWidow Elite Keyboard,Electronics,299.99,6,1799.94
367-85-9429,2022-10-10,155387,The Hobbit,Books,19.99,7,139.93
570-27-5285,2020-08-04,29336,War and Peace,Books,24.99,10,249.9
758-08-0719,2021-11-18,2886,Instant Pot Duo 7-in-1,Home Appliances,89.0,1,89.0
227-57-4287,2021-10-28,56925,Columbia Hiking Boots,Clothes,160.0,9,1440.0
463-47-8396,2021-04-13,157164,Whipping Cream,Dairy,4.49,10,44.9
149-28-4425,2021-12-26,107857,The Iliad,Books,15.99,2,31.98
812-75-9054,2021-11-30,41457,Noctua NH-D15 CPU Cooler,Electronics,99.99,9,899.91
342-38-8370,2022-05-09,138145,Broccoli,Vegetables,1.49,2,2.98
156-39-7902,2020-08-27,59442,The Alchemist,Books,15.99,5,79.95
212-76-3886,2022-07-19,102160,Dell XPS 13 Laptop,Electronics,1249.99,10,12499.9
046-28-7455,2020-11-22,160585,JBL Charge 4 Speaker,Electronics,149.99,5,749.95
608-97-1987,2021-11-17,150639,1984 by George Orwell,Books,9.99,4,39.96
375-99-4294,2022-07-25,94900,The Alchemist,Books,15.99,10,159.9
399-64-5997,2020-08-16,196212,Prada Sunglasses,Clothes,250.0,9,2250.0
420-60-3071,2023-03-08,167488,Dell XPS 13 Laptop,Electronics,1249.99,5,6249.95
246-54-6726,2022-09-07,161421,Grapes,Fruits,2.49,2,4.98
670-21-5255,2024-07-22,27704,Razer BlackWidow Elite Keyboard,Electronics,299.99,8,2399.92
820-71-6406,2024-06-10,128926,AMD Radeon RX 6800 XT,Electronics,159.99,4,639.96
685-73-4451,2023-09-13,116917,Anna Karenina,Books,22.99,5,114.95
527-02-8465,2023-03-26,133811,Kingston A2000 NVMe SSD,Electronics,85.99,9,773.91
746-49-1018,2023-09-11,47898,Gucci Belt,Clothes,200.0,1,200.0
130-54-0559,2020-08-21,144204,Puma Running Shoes,Clothes,100.0,1,100.0
379-73-7565,2023-12-04,151419,Nike Air Max 270,Clothes,150.0,3,450.0
616-88-0119,2020-09-02,70458,Moby Dick,Books,17.99,10,179.9
839-18-7253,2024-07-29,21256,Corsair Hydro Series H100i,Electronics,129.99,3,389.97
233-36-0177,2024-03-28,176884,Greek Yogurt,Dairy,6.99,10,69.9
257-21-1668,2020-01-21,172448,Nespresso VertuoPlus,Home Appliances,189.99,8,1519.92
491-65-7402,2021-08-02,179312,Microsoft Xbox Series X,Electronics,499.99,4,1999.96
744-56-3265,2020-04-10,149267,Burberry Scarf,Clothes,120.0,1,120.0
027-81-6628,2023-02-03,28950,Cucumber,Vegetables,0.99,8,7.92
052-69-3837,2021-05-13,175400,Apple MacBook Pro 16,Electronics,2399.0,2,4798.0
120-22-9950,2020-04-11,130749,The Brothers Karamazov,Books,20.99,3,62.97
097-40-1185,2021-04-25,199272,Croissant,Bakery,2.49,8,19.92
689-78-0063,2021-12-24,147510,Puma Running Shoes,Clothes,100.0,2,200.0
825-62-6037,2024-02-12,80539,Prada Sunglasses,Clothes,250.0,2,500.0
721-20-8278,2023-10-02,182969,Ralph Lauren Sweater,Clothes,85.0,6,510.0
303-31-0162,2022-11-06,170719,Dell XPS 13 Laptop,Electronics,1249.99,6,7499.94
298-62-8170,2022-04-18,54844,Cottage Cheese,Dairy,5.99,8,47.92
376-81-9457,2023-06-19,199163,Calvin Klein Boxers,Clothes,35.0,7,245.0
483-98-6971,2020-06-25,169641,Pumpkin Pie,Bakery,8.99,2,17.98
622-06-3595,2022-08-05,141737,Strawberry,Fruits,2.99,9,26.91
331-31-1800,2021-12-18,111012,Cheddar Cheese,Dairy,7.99,8,63.92
225-13-8739,2021-02-11,48308,Razer BlackWidow Elite Keyboard,Electronics,299.99,3,899.97
265-93-0367,2024-01-01,59737,Wuthering Heights,Books,13.99,8,111.92
133-76-3275,2023-01-16,194292,Banana,Fruits,0.59,10,5.9
639-14-1805,2022-06-10,192243,Grapes,Fruits,2.49,7,17.43
395-07-1338,2020-01-29,91440,Hamilton Beach Juicer,Home Appliances,99.99,3,299.97
099-98-1325,2021-08-17,83572,Fitbit Charge 5,Electronics,129.95,10,1299.5
420-40-6952,2021-11-24,40798,Canon EOS Rebel T7,Electronics,479.99,8,3839.92
743-77-6825,2021-03-23,134063,Roomba i7+ Robot Vacuum,Home Appliances,799.99,6,4799.94
855-84-0977,2023-08-08,163223,Burberry Scarf,Clothes,120.0,5,600.0
490-07-6147,2024-06-02,144440,Nike Air Max 270,Clothes,150.0,2,300.0
290-40-4042,2020-07-01,11684,Blueberry,Fruits,3.99,6,23.94
403-26-7222,2021-10-03,145496,KitchenAid Stand Mixer,Home Appliances,299.99,3,899.97
644-03-9924,2020-07-16,166434,Samsung 980 PRO NVMe SSD,Electronics,199.99,8,1599.92
319-29-6101,2024-01-06,78812,The Catcher in the Rye,Books,12.99,10,129.9
145-54-5381,2024-03-26,121854,Anker PowerCore Portable Charger,Electronics,39.99,5,199.95
748-60-7805,2020-07-07,174768,Under Armour T-Shirt,Clothes,25.0,7,175.0
730-72-5401,2021-04-21,64671,Noctua NH-D15 CPU Cooler,Electronics,99.99,10,999.9
001-78-6284,2020-12-22,135974,Moby Dick,Books,17.99,6,107.94
310-63-3508,2022-05-29,102353,Apple,Fruits,0.99,5,4.95
276-11-7834,2020-10-30,134043,The Alchemist,Books,15.99,6,95.94
602-40-0727,2021-01-31,100340,Apple iPhone 13,Electronics,799.0,2,1598.0
391-66-0592,2020-08-03,64371,GoPro HERO9 Black,Electronics,399.99,4,1599.96
767-43-2225,2024-07-14,27427,The Lord of the Rings,Books,25.99,9,233.91
857-33-2116,2021-10-19,10492,Wuthering Heights,Books,13.99,6,83.94
400-64-9943,2021-05-30,120774,The North Face Jacket,Clothes,120.0,8,960.0
481-05-3433,2024-05-05,111250,Intel Core i9-10900K Processor,Electronics,349.99,2,699.98
851-51-8779,2022-09-14,97944,Tommy Hilfiger Polo Shirt,Clothes,50.0,1,50.0
823-15-1774,2021-05-30,102258,Razer DeathAdder V2 Mouse,Electronics,199.99,1,199.99
413-05-8812,2023-06-24,55042,Organic Whole Milk,Dairy,4.99,9,44.91
822-64-9200,2021-09-13,43182,Nespresso VertuoPlus,Home Appliances,189.99,7,1329.93
631-56-1890,2023-01-01,130852,The Lord of the Rings,Books,25.99,1,25.99
528-73-1665,2021-06-18,123412,AMD Radeon RX 6800 XT,Electronics,159.99,8,1279.92
546-06-8052,2020-08-05,108893,Samsung 980 PRO NVMe SSD,Electronics,199.99,1,199.99
058-67-4222,2024-02-20,88973,Mango,Fruits,2.49,5,12.45
669-28-2205,2022-02-04,90959,Samsung Galaxy Tab S7,Electronics,649.99,9,5849.91
318-26-0820,2021-06-30,109822,The Catcher in the Rye,Books,12.99,5,64.95
862-11-1501,2022-03-06,79735,Whipping Cream,Dairy,4.49,9,40.41
897-55-5243,2021-08-08,129182,The Iliad,Books,15.99,2,31.98
563-43-3932,2022-11-05,7927,Nespresso VertuoPlus,Home Appliances,189.99,8,1519.92
398-61-9614,2020-02-21,3386,Samsung Galaxy S21,Electronics,999.99,8,7999.92
148-25-8372,2021-05-08,171690,Organic Whole Milk,Dairy,4.99,9,44.91
739-89-4571,2021-11-21,145920,The Brothers Karamazov,Books,20.99,4,83.96
693-82-0340,2023-05-10,181895,Whole Wheat Bread,Bakery,3.99,10,39.9
554-08-6766,2024-05-14,122432,Keurig K-Elite Coffee Maker,Home Appliances,159.99,2,319.98
081-48-8111,2023-10-31,158732,Apple Watch Series 7,Electronics,399.0,7,2793.0
023-51-6087,2024-02-01,63057,Tommy Hilfiger Polo Shirt,Clothes,50.0,1,50.0
890-52-8708,2022-02-07,110204,Instant Pot Duo 7-in-1,Home Appliances,89.0,1,89.0
748-19-0268,2021-12-03,35859,ASUS ROG Strix Z590-E Gaming Motherboard,Electronics,169.99,3,509.97
480-93-3262,2023-10-17,83869,Fitbit Charge 5,Electronics,129.95,6,779.7
327-55-5543,2022-02-15,156569,ASUS ROG Strix Z590-E Gaming Motherboard,Electronics,169.99,6,1019.94
541-45-8822,2024-06-06,61606,Pride and Prejudice,Books,7.99,10,79.9
361-25-7922,2022-08-28,186496,The Alchemist,Books,15.99,5,79.95
016-57-7777,2022-12-25,137286,Versace Perfume,Clothes,90.0,10,900.0
812-78-5326,2022-02-24,148056,SanDisk Extreme Portable SSD,Electronics,159.99,9,1439.91
643-69-6180,2020-01-07,12654,Mango,Fruits,2.49,6,14.94
677-38-7522,2021-04-02,34808,Butter,Dairy,3.99,1,3.99
067-42-4322,2023-03-03,63696,The Catcher in the Rye,Books,12.99,1,12.99
523-08-9966,2023-09-20,84702,Sony WF-1000XM4 Earbuds,Electronics,279.99,6,1679.94
795-85-5172,2021-09-05,82608,Whole Wheat Bread,Bakery,3.99,5,19.95
830-29-2259,2021-12-11,188791,The Brothers Karamazov,Books,20.99,8,167.92
559-59-2741,2023-04-06,86529,AMD Radeon RX 6800 XT,Electronics,159.99,2,319.98
510-31-3958,2024-07-04,34802,Apple Watch Series 7,Electronics,399.0,6,2394.0
013-54-1100,2021-03-22,148273,Under Armour T-Shirt,Clothes,25.0,8,200.0
181-89-9620,2021-07-03,140704,Apple MacBook Pro 16,Electronics,2399.0,9,21591.0
174-41-1730,2021-11-15,105464,JBL Charge 4 Speaker,Electronics,149.99,10,1499.9
074-57-0860,2021-03-18,115387,Adidas Ultraboost,Clothes,180.0,5,900.0
193-39-5313,2021-06-21,12097,War and Peace,Books,24.99,4,99.96
782-50-7425,2020-02-28,69157,Calvin Klein Boxers,Clothes,35.0,9,315.0
438-41-0665,2024-04-18,37257,Moby Dick,Books,17.99,6,107.94
248-92-6337,2020-08-29,46095,Sony PlayStation 5,Electronics,499.99,1,499.99
253-37-4495,2022-09-17,122524,Potato,Vegetables,0.99,6,5.94
772-60-5680,2020-01-22,193159,Fractal Design Meshify C,Electronics,69.99,3,209.97
373-98-7908,2021-10-03,17580,Google Nest Hub,Electronics,89.99,5,449.95
579-85-2998,2020-06-12,79023,Noctua NH-D15 CPU Cooler,Electronics,99.99,2,199.98
007-11-3118,2021-08-28,15458,Cheddar Cheese,Dairy,7.99,5,39.95
775-37-1354,2022-07-20,183425,Organic Whole Milk,Dairy,4.99,8,39.92
652-88-4301,2020-11-03,98669,Levi's 501 Original Jeans,Clothes,60.0,10,600.0
163-65-1236,2020-09-14,141341,Cottage Cheese,Dairy,5.99,9,53.91
290-13-0581,2021-05-09,50850,Bagel,Bakery,1.99,5,9.95
725-25-0119,2020-04-05,134692,MSI MAG B550 TOMAHAWK Motherboard,Electronics,89.99,6,539.94
762-34-9231,2021-06-10,52618,TP-Link Archer AX6000 Router,Electronics,249.99,5,1249.95
061-58-2616,2022-04-19,42946,Watermelon,Fruits,4.99,6,29.94
325-55-8390,2022-01-03,162513,1984 by George Orwell,Books,9.99,4,39.96
633-81-3506,2020-03-04,155038,Nike Air Max 270,Clothes,150.0,2,300.0
297-32-6286,2021-01-25,179477,Sony WF-1000XM4 Earbuds,Electronics,279.99,5,1399.95
140-31-3993,2021-05-28,8613,LG 27GL850-B Monitor,Electronics,89.99,6,539.94
774-36-7194,2020-10-24,25996,Mozzarella Cheese,Dairy,8.99,6,53.94
773-25-7352,2020-06-19,149083,Whole Wheat Bread,Bakery,3.99,2,7.98
729-08-8762,2024-03-06,159474,Pineapple,Fruits,3.99,6,23.94
220-88-3005,2020-10-17,26780,Calvin Klein Boxers,Clothes,35.0,7,245.0
778-07-4118,2020-09-02,199343,Prada Sunglasses,Clothes,250.0,7,1750.0
874-63-3607,2022-09-24,52010,Instant Pot Duo 7-in-1,Home Appliances,89.0,8,712.0
612-29-6131,2022-03-06,188375,Corsair Vengeance LPX RAM,Electronics,699.0,6,4194.0
172-50-5643,2023-08-09,139232,Watermelon,Fruits,4.99,10,49.9
001-29-7589,2020-07-16,43648,Fractal Design Meshify C,Electronics,69.99,2,139.98
404-77-9635,2024-06-15,81881,Anker PowerCore Portable Charger,Electronics,39.99,10,399.9
532-40-5544,2022-06-19,54562,Adidas Ultraboost,Clothes,180.0,6,1080.0
545-01-7989,2020-12-31,139701,Armani Exchange Watch,Clothes,300.0,4,1200.0
381-23-1112,2024-01-22,143646,Apple iPad Pro 12.9",Electronics,999.0,1,999.0
054-94-8384,2020-12-30,116381,Samsung Galaxy S21,Electronics,999.99,1,999.99
267-59-9340,2020-05-04,33982,SanDisk Extreme Portable SSD,Electronics,159.99,9,1439.91
543-55-9866,2021-10-06,32636,Anker PowerCore Portable Charger,Electronics,39.99,7,279.93
810-07-8872,2021-09-26,55569,Spinach,Vegetables,2.49,9,22.41
679-80-8983,2020-10-15,110794,AMD Radeon RX 6800 XT,Electronics,159.99,7,1119.93
877-23-1753,2020-04-06,24701,LG 27GL850-B Monitor,Electronics,89.99,5,449.95
479-01-7242,2021-08-20,146085,Crime and Punishment,Books,18.99,7,132.93
326-27-3590,2021-06-20,109043,Anker Soundcore Liberty Air 2 Pro,Electronics,129.99,7,909.93
444-26-1566,2022-12-05,40284,Cream Cheese,Dairy,3.49,7,24.43
829-10-6566,2023-01-12,123727,Wuthering Heights,Books,13.99,3,41.97
265-58-5084,2021-12-03,6717,Greek Yogurt,Dairy,6.99,1,6.99
007-57-0897,2024-04-29,197879,Cheddar Cheese,Dairy,7.99,1,7.99
564-10-8640,2020-12-20,38004,Strawberry,Fruits,2.99,4,11.96
860-64-1551,2021-02-20,123604,Anker PowerCore Portable Charger,Electronics,39.99,2,79.98
669-35-2131,2022-04-26,188707,Apple Pie,Bakery,7.99,9,71.91
623-95-8063,2021-12-30,31252,Chocolate Chip Cookies,Bakery,2.99,2,5.98
208-39-2866,2020-08-05,188173,Lettuce,Vegetables,1.49,10,14.9
412-84-5926,2023-11-27,92380,Blueberry,Fruits,3.99,4,15.96
291-94-0880,2024-05-31,111473,Greek Yogurt,Dairy,6.99,5,34.95
373-16-1700,2023-07-30,197693,Muffin,Bakery,2.99,5,14.95
022-21-6115,2020-12-01,26530,Sour Cream,Dairy,2.99,6,17.94
010-03-2427,2022-12-09,107792,Watermelon,Fruits,4.99,8,39.92
860-35-6956,2020-03-29,133043,Strawberry,Fruits,2.99,5,14.95
746-52-8474,2021-04-13,101199,KitchenAid Stand Mixer,Home Appliances,299.99,3,899.97
544-40-8111,2021-04-08,164183,Bose QuietComfort 35 II,Electronics,299.0,3,897.0
802-28-4019,2021-04-21,122702,Sony WF-1000XM4 Earbuds,Electronics,279.99,9,2519.91
804-63-7290,2020-09-18,128533,Tomato,Vegetables,1.99,8,15.92
185-94-8792,2023-07-01,160876,Samsung 980 PRO NVMe SSD,Electronics,199.99,9,1799.91
833-16-5117,2023-07-30,1317,Cottage Cheese,Dairy,5.99,9,53.91
081-31-6623,2020-10-21,175856,The Hobbit,Books,19.99,4,79.96
394-10-1385,2021-03-22,196968,The Hobbit,Books,19.99,8,159.92
608-19-5837,2020-10-18,75762,The Hobbit,Books,19.99,7,139.93
525-76-0223,2020-12-19,119758,Pepper,Vegetables,1.99,6,11.94
866-72-0251,2023-06-25,41954,Prada Sunglasses,Clothes,250.0,10,2500.0
735-83-8444,2023-05-28,40160,Netgear Nighthawk Pro Gaming Router,Electronics,129.99,1,129.99
127-64-7823,2020-05-06,184996,Canon EOS Rebel T7,Electronics,479.99,6,2879.94
098-51-1945,2022-03-27,163529,The Brothers Karamazov,Books,20.99,2,41.98
700-49-9146,2024-05-11,111449,The Great Gatsby,Books,10.99,5,54.95
735-57-7046,2024-07-22,77731,Apple iPhone 13,Electronics,799.0,9,7191.0
469-53-7546,2023-06-21,147071,Harry Potter and the Sorcerer's Stone,Books,29.99,9,269.91
718-87-3515,2020-03-15,28879,Moby Dick,Books,17.99,6,107.94
784-66-9880,2020-09-26,10814,Burberry Scarf,Clothes,120.0,3,360.0
502-97-6133,2021-02-17,122464,Cheddar Cheese,Dairy,7.99,5,39.95
139-09-8639,2023-08-24,4016,Logitech G502 HERO Mouse,Electronics,229.99,8,1839.92
179-69-4598,2023-12-02,151790,Moby Dick,Books,17.99,7,125.93
702-79-5901,2024-05-10,80090,Mango,Fruits,2.49,10,24.9
036-77-5461,2021-02-16,18212,Jabra Elite 85t Earbuds,Electronics,229.99,10,2299.9
061-04-3881,2022-03-09,92565,Harry Potter and the Sorcerer's Stone,Books,29.99,6,179.94
734-84-0063,2020-08-05,198040,The Iliad,Books,15.99,8,127.92
518-05-6335,2020-10-30,157612,The Alchemist,Books,15.99,8,127.92
137-75-8651,2021-09-25,93973,LG 27GL850-B Monitor,Electronics,89.99,1,89.99
164-36-2444,2022-09-30,155426,Orange,Fruits,1.19,1,1.19
332-83-0515,2020-05-19,1063,Pumpkin Pie,Bakery,8.99,6,53.94
823-50-4663,2023-10-14,154423,Gucci Belt,Clothes,200.0,7,1400.0
312-11-3345,2022-06-13,91948,Hermès Silk Tie,Clothes,220.0,6,1320.0
165-01-5675,2024-05-16,78847,Croissant,Bakery,2.49,10,24.9
077-82-7937,2021-05-22,178471,Nespresso VertuoPlus,Home Appliances,189.99,10,1899.9
457-39-0645,2023-04-22,102822,MSI MAG B550 TOMAHAWK Motherboard,Electronics,89.99,8,719.92
635-24-5909,2024-02-08,124050,Apple iPad Pro 12.9",Electronics,999.0,6,5994.0
673-43-3543,2021-12-14,163179,Columbia Hiking Boots,Clothes,160.0,2,320.0
446-67-7067,2021-06-08,101583,The Great Gatsby,Books,10.99,7,76.93
256-85-9356,2022-02-08,187436,Cottage Cheese,Dairy,5.99,7,41.93
057-13-3232,2021-07-06,138591,Sour Cream,Dairy,2.99,10,29.9
373-83-8096,2021-09-23,134780,Organic Whole Milk,Dairy,4.99,10,49.9
053-21-1565,2021-05-23,18549,The Great Gatsby,Books,10.99,5,54.95
426-80-1263,2020-02-29,11744,Whipping Cream,Dairy,4.49,5,22.45
017-09-0639,2021-08-08,67101,SteelSeries Arctis 7 Headset,Electronics,249.99,1,249.99
786-29-7962,2022-01-13,93078,Apple Watch Series 7,Electronics,399.0,7,2793.0
